place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Nicolai Gottlieb Blædel	Blædel	Nicolai Gottlieb Blædel, fra 1859 sognepræst ved Garnisons Kirke i København. Talerne er trykt i »Ved Geheimeconferentsraad Jonas Collin’s Jordefærd den 2. September 1861«.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	242	1	v18:242 (1869)	medium	located+place-type	
Nicolai Taarn	Nicolai Taarn	tårnet på Nikolaj Kirke, en middelalderkirke, der kendes fra 1261. Kirken nedbrændte sammen med store dele af København i 1795, men tårnet overlevede. Efter branden besluttede Frederik 6., at sognet skulle nedlægges, hvilket skete i 1805. 1915-1917 blev kirken genopbygget med det gamle tårn som en naturlig del. Kirken har dog efter genopførelsen ikke været brugt som kirke, men til en række andre formål, fx hovedbibliotek.	1832	1832	16	Levnedsbog	143	1	v16:143 (1832)	high	head-noun+located+place-type	
Nicolaigade	Nicolaigade	oprindelig kun den del af Nikolaj Plads, der ligger øst for Nikolaj Kirke (op mod Vingårdsstræde), og som efter branden indtil 1845 anvendtes som kødtorv.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	76	1	v17:76 (1855)	medium	located+place-type	
Nicolaitaarn	Nicolaitaarn	Sankt Nicolai Kirke på Nicolai Plads er formentlig Københavns ældste. Tårnet opførtes 1591. Ved branden 1795 blev kirken ødelagt og lå hen som ruin; tårnet blev siden indrettet til brug for brandvæsenet, der ejede det 1808-1882. Fra 1820 anvendtes det til brandvagt og signalstation. ¶ tårnet på Sankt Nikolaj Kirke overlevede branden i 1795, hvor kirken og spiret blev ødelagt; i 1814-1817 blev alt undtagen tårnet revet ned.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	220	2	v16:220 (1846); v17:76 (1855)	high	located+place-type+head-noun	
Ninive	Ninive(s)	hovedstaden i oldtidens Assyrien (Mesopotamien), dengang under udgravning af britiske arkæologer.	1860	1860	15	Berlingske politiske Avertissements-Tidende	176	1	v15:176 (1860)	high	head-noun+place-type	
Njupeskärs Vandfald	Njupeskärs Vandfald	Sveriges højeste vandfald på Fulufjällets nordlige skråning.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	medium	located+place-type	
Nonnebakken	Nonnebakken	bakke syd for Odense Å, tæt ved Sankt Knuds Kirke. Oprindelig lå her en ringborg eller trelleborg (Burgh), der i middelalderen tilhørte Sankt Knuds Kloster og deraf fik navnet Nundeborrig, dvs. nonneborg.	1832	1832	16	Levnedsbog	61	2	v16:61 (1832); v16:104 (1832)	high	in-register+head-noun+located+place-type	place-000005
Nordhavet	Nordhavet	Norskehavet.	1851	1851	15	I Sverrig	13	1	v15:13 (1851)	high	head-noun+place-type	
Novella	Novella	en by ved dette navn har ikke kunnet lokaliseres i området.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	154	1	v17:154 (1855)	high	head-noun+place-type	
Nyboder	Nyboder(s Madamer)	bydel i København, påbegyndt 1631 under kong Christian 4. som boliger for flådens faste mandskab; på H.C. Andersens tid et fattigt kvarter.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	48	1	v17:48 (1855)	high	head-noun+located+place-type	
Nysø	Nysøe	Nysø; hovedgård og gods fra 1670 ved Præstø, som på H.C. Andersens tid var ejet af baron Hendrik Stampe; billedhuggeren Thorvaldsen boede efter sin hjemkomst fra Italien 1838 indtil sin død 1844 ofte på Nysø, hvor han fik indrettet et atelier. ¶ Nysø, hovedgård og gods fra 1670 ved Præstø, ejet af baron Hendrik Stampe og baronesse Christine Stampe.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	206	2	v17:206 (1855); v17:233 (1855)	high	head-noun+located+place-type	geo-2615912
Nürnberg	Nürnberg	H.C. Andersen tog 15. juli fra Einsiedeln til Zürich og nåede via bl.a. Müchen og Augsburg til Nürnberg den 23. juli.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	241	1	v18:241 (1869)	high	in-register	geo-2861650
Oberammergau	Oberammergau	landsby i Voralpen i Bayern sydvest for München (se kort), hvor der siden 1634 med enkelte undtagelser hvert tiende år har været opført spil over Jesu lidelseshistorie fra maj til september. Hver af de ca. 100 opførelser varer fra morgen til aften og varetages af lokale amatører. ¶ by i Voralpen i Bayern sydvest for München, hvor der siden 1634 med enkelte undtagelser hvert tiende år har været opført spil over Jesu lidelseshistorie fra maj til september. Hver af de ca. 100 opførelser varer fra morgen til aften og varetages af lokale amatører. ¶ landsby i Voralpen i Bayern sydvest for München, hvor der siden 1634 med enkelte undtagelser hvert tiende år har været opført spil over Jesu lidelseshistorie fra maj til september. Hver af de ca. 100 opførelser varer fra morgen til aften og varetages af lokale amatører; udflugten til Oberammergau varede 30. juni-3. juli.	1860	1860 1861 1869	15 18	Illustreret Tidende	200	3	v15:200 (1860); v15:209 (1861); v18:228 (1869)	high	se-kort+head-noun+located+place-type	
Olazagoitia	Olazagoitia	Olazagutía el. Olazti, se kort.	1863	1863	15	I Spanien	408	1	v15:408 (1863)	high	se-kort	
Old Bromton	Old Bromton	bydel i Westend, syd for Hyde Park.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	33	1	v18:33 (1869)	high	head-noun+located+place-type	
Ole Bull	Ole Bull	den norske violinvirtuos og komponist Ole Bull, som H.C. Andersen havde mødt i København i november 1838 og siden i Hamburg i maj 1843; Ole Bull havde 1845 været på turné i USAog gav 1846 flere koncerter i Frankrig (Paris, Bordeaux og Marseille). Han og H.C. Andersen mødtes 29. juni 1846.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	336	1	v17:336 (1855)	medium	located	
Olmütz	Olmütz	østtjekkisk by nordøst for Brno, hvor H.C. Andersen kort opholdt sig 6. marts 1846.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	322	1	v17:322 (1855)	medium	located+place-type	
Olten	Olten	se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
om Algier og Araberne	om Algier og Araberne	Daumas havde især gjort tjeneste i Algier; han udgav bl.a. Moeurs et coutumes de l’Algérie, 1853 og La Kabylie, 1857. H.C. Andersen spiste »stor Frokost« hos ham 21. april, hvor »Generalen gav mig nogle af sine Skrifter«.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	308	1	v18:308 (1869)	medium	located	
Oplagssted	Oplagssted	plads, pakhus o.l. til opbevaring af varer.	1854	1854	15	Folkekalender for Danmark	140	1	v15:140 (1854)	high	head-noun+place-type	
Oporto	Oporto	se kort.	1868	1868	15	Et Besøg i Portugal 1866	440	1	v15:440 (1868)	high	se-kort	
Oran	Oran	havneby i Nordvest-Algeriet.	1863	1863	15	I Spanien	341	1	v15:341 (1863)	high	head-noun+located+place-type	
Orihuela	Orihuela	se kort.	1863	1863	15	I Spanien	258	1	v15:258 (1863)	high	se-kort	
Ornäs	Ørnæs	Ornäs; navn på såvel en gård som byen ved den sydvestlige bred af Runn; se kort 2.	1851	1851	15	I Sverrig	92	1	v15:92 (1851)	high	se-kort+place-type	
Orsova	(Gammel-)Orsova	Ors¸ova; rumænsk by på Donaus venstre bred (Ny Orsova lå på Donaus højre, serbiske bred).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	221	1	v17:221 (1855)	medium	located+place-type	
over Nestved til Slagelse	over Nestved til Slagelse	H.C. Andersen ankom til Næstved 3. juli 1829 og til Slagelse dagen efter.	1832	1832	16	Levnedsbog	154	1	v16:154 (1832)	medium	located	
P.T. Hald	En nuværende jydsk Præst	P.T. Hald, som blev teologisk kandidat i 1828; havde skrevet anmeldelser i Dansk Litteratur-Tidende og havde 1828 anonymt fået opført vaudevillerne Guldbryllups-Frierierne og Destillatøren på Det Kgl. Teater.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	88	1	v17:88 (1855)	medium	located	
Paaskeklokken kimed’	Paaskeklokken kimed’	»Paaskeklokken kimed mildt / Fra den danske Kyst,«, begyndelseslinjerne til Carl Plougs digt »Slaget ved Slesvig. (Til en færøisk Melodi)«, skrevet til en koncert i Casino til fordel for de sårede og de faldnes efterladte og trykt i Fædrelandet, nr. 120, 4. maj 1848.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	76	1	v18:76 (1869)	medium	located+place-type	
Palais-Royal	Palais royal	Palais-Royal; tidligere kongeslot, opført fra 1632, hvori 1641 indviedes et teater, som blev et af tidens mest berømte.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	111	1	v17:111 (1855)	high	head-noun+place-type	
Palmyra	Palmyra	antik oaseby i Syrien 100 km øst byen Homs.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	200	1	v17:200 (1855)	medium	located+place-type	
Pamplona	Pamplona	se kort.	1863	1863	15	I Spanien	228	1	v15:228 (1863)	high	se-kort	
Pantheon	Pantheon	(af græsk pantheion) viet til alle guderne; antikt tempel på Marsmarken i Rom viet til alle guder og oprindelig tænkt som helligdom for kejser Augustus – egl. Gajus Julius Caesar Octavian – (63 f.Kr.-14). Det nuværende kompleks er rejst i 120’erne, men grundlæggelsen fandt allerede sted i 27 f.Kr. I 609 indviet til kirke for Jomfru Maria og martyrer. ¶ antikt rundtempel på Marskmarken i Rom, senere indrettet til kirke.	1855	1855 1870	15 17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	135	2	v17:135 (1855); v15:491 (1870)	high	in-register+place-type	geo-6619450
Paris	Paris	H.C. Andersen opholdt sig her 10. maj-15. august. ¶ H.C. Andersen rejste over Folkestone og Amiens og kom 17. juli til Paris, som han forlod den 20. Via Strassburg, Mannheim, Frankfurt og Leipzig ankom han den 26. til Dresden. 27. juli rejste han med familien Serre til pianisten og komponisten Adolf Henselts gods Gersdorf i Schlesien, hvor major Serres Fødselsdag (den 28.) blev fejret. 30.-31. juli fulgtes han med Serres til Maxen, hvor han blev til 30. august. ¶ 21. januar-20. marts.	1846	1846 1869	16 18	Mit eget Eventyr uden Digtning	231	3	v16:231 (1846); v18:196 (1869); v18:267 (1869)	high	in-register	geo-2988507
Parthenon	Parthenon(s)	parthenonfrisen fra Parthenontemplet på Athens akropolis, opført 477-438. I 1801-1802 fik den engelske Lord Elgin osmannernes tilladelse til at fjerne en del af skulpturerne fra Parthenons ruiner og hjemførte dem til England. Siden 1816 i den engelske stats eje.	1860	1860	15	Berlingske politiske Avertissements-Tidende	176	1	v15:176 (1860)	high	in-register	geo-8354432
Pastor Bastholms Bibliothek	Pastor Bastholms Bibliothek	sognepræst ved St. Peders kirke, Hans Bastholm, var en stor bogsamler; han solgte sit bibliotek med over 5.000 bind til Sorø Akademi i 1847. ¶ sognepræsten ved St. Peders kirke, Hans Bastholm, var en stor bogsamler; han solgte sit bibliotek med over 5.000 bind til Sorø Akademi i 1847.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	211	2	v16:211 (1846); v17:61 (1855)	medium	located+place-type	
Peblingesøen	Peblingesøen	sø i København, der blev dannet i middelalderen for at sikre vandstanden i voldgravene.	1832	1832	16	Levnedsbog	93	1	v16:93 (1832)	high	head-noun+located+place-type	
Pera	Pera	bydel i Istanbul.	1851	1851	15	I Sverrig	61	1	v15:61 (1851)	high	head-noun+located+place-type	
Perpignan	Perpignan	fransk by nær grænsen til Spanien.	1863	1863	15	I Spanien	220	1	v15:220 (1863)	medium	located+place-type	
Peter Frederik Wulff	Admiral Wulff(s) | Wulff(s)	Peter Frederik Wulff, chef for Søkadetakademiet, som i H.C. Andersens latinskoletid åbnede sit hjem for ham.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	204	2	v18:204 (1869); v18:283 (1869)	medium	located	
Peterskirken	Peterskirken	den romersk-katolske kirkes hovedsæde i Vatikanstaten i Rom, indviet til apostelen Peter.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	medium	located	
Petit Trianon	lille Trianon(s Have)	Petit Trianon, lystslot i Versailles’ slotspark, opført 1762-1768; blev et yndet opholdssted for dronning Marie-Antoinette, som fra 1774 etablerede en engelsk-inspireret landskabshave med tilhørende malerisk miniatureby.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	113	1	v17:113 (1855)	medium	located+place-type	
Philemon og Baucis	Philemon og Baucis	i Knud Lyne Rahbeks digt »Til mit Bakkehus«, trykt 1. gang i Poetiske Forsøg 2. del, 1802, s. 187 f., hedder det: »Her Baucis og Philemon leve, døe/Tilsammen i hinandens Arm af Ælde«. Philemon og Baucis nævnes i en myte i Ovids Metamorphoses, VIII, V. 631 f. som et gammelt, fromt og fattigt bondepar i Frygien, der til løn for deres gæstfrihed af Zeus ved deres samtidige død forvandledes til to sammenvoksede træer: Philemon til en eg, Baucis til en lind. Ingemann satte Johs. Ewalds sangdrama Philemon og Baucis, 1772, ind i »Varners poëtiske Vandringer« fra digtsamlingen Procne, 1813, som de elskendes læsning.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	182	1	v18:182 (1869)	medium	located	
Pinieskov	Pinieskov	skoven strakte sig tidligere fra Puerto Real til Puerto de Santa María, se kort.	1863	1863	15	I Spanien	354	1	v15:354 (1863)	high	se-kort+head-noun+located+place-type	
Pisa	Pisa	se kort. ¶ 30. maj.	1869	1869 1870	15 18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	239	2	v18:239 (1869); v15:490 (1870)	high	in-register+se-kort	geo-3170647
Plaza de Oriente	Plaza de Oriente	plads på østsiden af slottet, anlagt mellem 1816 og 1850.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	head-noun+place-type	
Plaza Nueva	Plaza Nueva	Den Nye Plads.	1863	1863	15	I Spanien	302	1	v15:302 (1863)	high	head-noun+place-type	
Pompeij	Pompeij	romersk by i Napolibugten ødelagt ved vulkanen Vesuvs udbrud 79 e.Kr.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	314	1	v18:314 (1869)	medium	located+place-type	
Pompeji	Pompeji(s) | Pompeji	antik romersk by, begravet ved Vesuvs udbrud i 79 e.Kr. ¶ den romerske by syd for Napoli, der blev ødelagt og begravet i aske ved Vesuvs udbrud 79. e.Kr. ¶ antik havneby ved Napolibugten, som blev begravet af aske og pimpsten under Vesuvs udbrud i 79 e.Kr.; de første spredte udgravninger af byen påbegyndtes i 1748, men en systematisk udgravning tog først fart i 1861. ¶ oldtidsby ved Napolibugten, som blev begravet af aske og pimpsten under Vesuvs udbrud i 79 e.Kr.; de første spredte udgravninger af byen påbegyndtes i 1748, men en systematisk udgravning tog først fart i 1861. ¶ antik romersk by, begravet ved Vesuvs udbrud 79 e.Kr., genfundet 1748 og siden udgravet.	1846	1846 1855 1860 1868 1869	15 16 17 18	Mit eget Eventyr uden Digtning	213	6	v16:213 (1846); v17:66 (1855); v17:153 (1855); v15:187 (1860); v15:456 (1868); v18:218 (1869)	high	located+place-type+head-noun	
Porphyr-Værket	Porphyr-Værket	Elfdals Porfyrverk i Älvdalen (se kort 2), grundlagt 1788.	1851	1851	15	I Sverrig	97	1	v15:97 (1851)	high	se-kort+place-type	
Porta Westfalica	Porta vestphalia	Porta Westfalica, lille by lidt vest for Hannover.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	296	1	v18:296 (1869)	medium	located+place-type	
Portici	Portici	italiensk by ved foden af Vesuv, sydøst for Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	152	1	v17:152 (1855)	high	in-register+place-type	geo-3170116
Prado	Prado(ens)	promenade, som da lå i udkanten af byen mod en række offentlige haver.	1863	1863	15	I Spanien	379	1	v15:379 (1863)	high	head-noun+place-type	
Prokres-Osten	Prokres-Osten	Anton (Freiherr) Prokesch von Osten, østrigsk gesandt i Athen 1834-1849.	1846	1846	16	Mit eget Eventyr uden Digtning	258	1	v16:258 (1846)	medium	located	
Præsten	Præsten	sognepræsten i Rättvik, Per Ulrik Boëthius.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	92	1	v18:92 (1869)	medium	located	
Pyrenæer	Pyrenæer	bjergkæde langs grænsen mellem Frankrig og Spanien.	1863	1863	15	I Spanien	220	1	v15:220 (1863)	high	head-noun+located+place-type	
Pæstum	Pæstum	oldtidsby ca. 60 km syd for Napoli, grundlagt omkring 600 f.Kr. af græske kolonister.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v17:153 (1855)	high	head-noun+located+place-type	
Ragaz med Bad-Pfäffers	Ragaz med Bad-Pfäffers	Bad Pfäfers er et kursted, opstået omkring en varm kilde (36,5°), opdaget ca. 1250 ved Taminaslugten af jægere fra benediktinerklostret Pfäfers. Det første badehus over Taminaslugten blev bygget omkring 1350. I 1840 blev vandet ledt ned i dalen til landsbyen Ragaz, hvor kurstedet Bad Ragaz blev skabt; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort+place-type	
Rammelsberg	Rammelsberg | Rammelsbjerg	bjerg med sølvmine. ¶ Rammelsberg, bjerg syd for Goslar, som H.C. Andersen så 25. maj 1831.	1851	1851 1869	15 18	I Sverrig	124	2	v15:124 (1851); v18:93 (1869)	high	head-noun+place-type+located	
Rantzau-Breitenburg … Fædreneborg	Rantzau-Breitenburg … Fædreneborg	gehejmestatsminister A.C.P. Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersens var på besøg i både 1840, 1843 og 1844.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	207	1	v17:207 (1855)	medium	located+place-type	
Regnbue ved Maaneskin	Regnbue ved Maaneskin	vel hentydning til digtet »Veirmöllen paa Bakken«, 1830, optaget i Phantasier og Skizzer, 1831, hvori det hedder »Dog, Maanens Lys er ikke slukt, Thi see, en Regnbue hvælver smukt«; hvilken anmeldelse eller kommentar, H.C. Andersen hentyder til, har ikke kunnet identificeres.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	225	1	v17:225 (1855)	medium	located+place-type	
Reuss	Reuss	floden Reuss løber gennem Luzern; se kort.	1861	1861	15	Illustreret Tidende	210	1	v15:210 (1861)	high	se-kort+head-noun+place-type	
Rhinen	Rhinen	1320 km lang flod i Mellem- og Nordvesteuropa.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	medium	located+place-type	
Rhinfald	Rhinfald	der Rheinfall ved Neuhausen (se kort), Europas største vandfald 150 m bredt og 23 m højt. Banen krydser Rhinen nedenfor faldet, hvorefter den passerer en tunnel under den klippe, hvorpå det middelalderlige slot Laufen er bygget.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort+place-type	
Riborg	de fortræffelige Børn	Riborg, Frederikke, Christian, Johan Peter og Laura Voigt.	1832	1832	16	Levnedsbog	161	1	v16:161 (1832)	high	head-noun+place-type	
Riborg Voigt	Den ældste Datter	Riborg Voigt, der var et år yngre end H.C. Andersen.	1832	1832	16	Levnedsbog	163	1	v16:163 (1832)	high	head-noun+place-type	
Riddarholmen	Riddarholmen	ø beliggende i søen Mälaren i det centrale Stockholm.	1851	1851	15	I Sverrig	68	1	v15:68 (1851)	high	head-noun+place-type	
Riddarholmskyrkan	Ridderholms-Kirken	Riddarholmskyrkan; opført i slutningen af 1200-tallet som kirke til franciskanerklosteret på Riddarholmen og siden brugt til grave og mindesmærker, fx er en stor del af Sveriges regenter begravet her. Det luftige smedejernsspir kom først til 1838-1846.	1851	1851	15	I Sverrig	58	1	v15:58 (1851)	medium	located+place-type	
Rigoletto	Rigoletto	opera fra 1851. H.C. Andersen havde set den i Berlin 5. nov. 1860.	1863	1863	15	I Spanien	272	1	v15:272 (1863)	medium	located	
Rochester	Rochester	by 28 km sydøst for London.	1860	1860	15	Berlingske politiske Avertissements-Tidende	161	1	v15:161 (1860)	high	head-noun+located+place-type	
Rolighed	Rolighed	Melchiors landsted på Østerbro ved Kalkbrænderivejen. Her boede H.C. Andersen første gang 9.-29. september 1866; det blev hans andet hjem i de kommende somre, og her døde han 4. august 1875.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	320	1	v18:320 (1869)	medium	located	
Roms Campagne	Roms Campagne	sletten omkring Rom. ¶ den store slette, der omgiver Rom.	1855	1855 1868	15 17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	2	v17:134 (1855); v15:427 (1868)	high	head-noun+located+place-type	
Rorschach	Rorschach	se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
Roxen	Roxen	sø ved Linköping i Östergötland; Göta kanal munder ud i Roxen ved Bergs sluser mod vest, hvor Vreta Kloster ligger.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	97	1	v18:97 (1869)	high	head-noun+located+place-type	
ruas dos flores	ruas dos flores	Rua das Flores, blomsternes gade i Porto tæt ved domkirken.	1868	1868	15	Et Besøg i Portugal 1866	429	1	v15:429 (1868)	medium	located+place-type	
Rudera	(Kjælder-)Rudera	ruiner, rester.	1846	1846	16	Mit eget Eventyr uden Digtning	213	1	v16:213 (1846)	high	head-noun+place-type	
Rustjuk	Rustschuk	Rustjuk, nu Ruse; by ved Donau i det nordøstlige Bulgarien, den ene af landets to grænseovergange over Donau.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	220	1	v17:220 (1855)	high	head-noun+located+place-type	
Rättvik og Mora	Rättvik og Mora	se kort 2.	1851	1851	15	I Sverrig	92	1	v15:92 (1851)	high	se-kort	
Rørstrands-Søen	Rørstrands-Søen	søen har ligget i forbindelse med Karlbergssjön og Klara sjö i det nuværende Norrmalm i Stockholm.	1851	1851	15	I Sverrig	55	1	v15:55 (1851)	high	head-noun+place-type	
Rütli	Rütli	eng ved Vierwaldstättersee (se kort), hvor if. traditionen det første schweiziske forbund blev stiftet i 1291.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort	
Sadofloden	Adofloden	Sadofloden; se kort.	1868	1868	15	Et Besøg i Portugal 1866	448	1	v15:448 (1868)	high	se-kort	
Sagnet	Sagnet	ifølge overleveringen var Hellig Anders præst ved Sankt Peders Kirke i Slagelse omkring 1200. Anders var draget på pilgrimsfærd til Jerusalem, men da hans rejsekammerater glemte ham ved hjemrejsen, faldt han i en dyb søvn. I drømme så han en rytter, der bad ham sidde op, og da han vågnede senere samme dag befandt han sig på Hvilehøj ved Slagelse. Først lang tid senere ankom hans rejsekammerater. Senere udgaver af historien fortæller, at Anders også nåede til Spanien og Norge. Historien om Anders kan spore tilbage til augustinermunken Thomas fra Cantimpré. Jf. også Thiele 1, 1, s. 74 f.	1832	1832	16	Levnedsbog	106	1	v16:106 (1832)	medium	located+place-type	
Sagunto	Sagunt	Sagunto, se kort. Byen sluttede forbund med romerne i 220-tallet f.Kr.	1863	1863	15	I Spanien	243	1	v15:243 (1863)	high	se-kort+place-type	
Sala	Sala	byen er anlagt af Gustav 2. Adolf i 1624 til sølvminen, der har været i drift fra før 1500-tallet. Se kort 2.	1851	1851	15	I Sverrig	77	1	v15:77 (1851)	high	se-kort+head-noun+place-type	
Saltsøen	Saltsøen	Saltsjön i Stockholms indre havn syd for Djurgården, hvis vand er mere saltholdigt end Mälarens.	1851	1851	15	I Sverrig	55	1	v15:55 (1851)	medium	located+place-type	
Salvaterra	Salvaterra	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Samlivet med Lißt	Samlivet med Lißt	Franz Liszt havde 1847 slået sig ned i Weimar, hvor han til 1861 virkede som instruktør og dirigent ved teatrets operaforestillinger; siden 1847 levede han sammen med Carolyne Sayn-Wittgenstein, og i deres hjem var H.C. Andersen en hyppig gæst under sine besøg i Weimar.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	136	1	v18:136 (1869)	medium	located	
San Sebastián	San Sebastian	San Sebastián, se kort.	1863	1863	15	I Spanien	410	1	v15:410 (1863)	high	se-kort	
Sanchidrián	San Chidrian	Sanchidrián, by på den anden side af Guadarramabjergene, se kort.	1863	1863	15	I Spanien	402	1	v15:402 (1863)	high	se-kort+place-type	
Sandviken	Sandwik(s-Hyttorna)	Sandviken; se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
Sangerfesten paa Vartburg	Sangerfesten paa Vartburg	en digterkappestrid, der ifølge sagnet fandt sted på Wartburg Slot i Tyskland 1207.	1846	1846	16	Mit eget Eventyr uden Digtning	285	1	v16:285 (1846)	medium	located+place-type	
Sangerfesten … Riddersal	Sangerfesten … Riddersal	en digterkappestrid, der ifølge sagnet fandt sted på Wartburg Slot i Tyskland 1207.	1851	1851	15	I Sverrig	22	1	v15:22 (1851)	medium	located+place-type	
Santa Croce	Santa Croce	klosterkirke i Firenze.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	132	1	v17:132 (1855)	high	head-noun+located+place-type	
Santa Cruz de Mudela	Santa Cruz de Mudela	se kort.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
Santa Fé	Santa-Fé	Santa Fé, by ca. 9 km øst for Granada.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	medium	located+place-type	
Santa Maria	Santa Maria	se kort.	1868	1868	15	Et Besøg i Portugal 1866	468	1	v15:468 (1868)	high	se-kort	
Santarem	Santarem	se kort.	1868	1868	15	Et Besøg i Portugal 1866	443	1	v15:443 (1868)	high	se-kort	
Sargans	Sarganz(-Dalen)	Sargans; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
Savoyen	Savoyen(s)	kongerige i det bjergrige grænseområde mellem Frankrig og Italien.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	15	1	v18:15 (1869)	high	head-noun+located+place-type	
Schaffhausen	Schaffhausen	by ved Rhinen; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort+head-noun+located+place-type	
Scheveningen	Scheveningen	landsby i Haags nordlige udkant, berømt kurog badeby.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	29	1	v18:29 (1869)	high	head-noun+located+place-type	
Schönbrunn	Schönbrunn	kejserligt lystslot sydvest for Wien, hvor Napoleon havde sit hovedkvarter i 1805 og 1809.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	164	1	v17:164 (1855)	medium	located+place-type	
Scirocco	Scirocco(luft) | Scirocco	kraftig, varm ørkenvind fra Nordafrika. ¶ varm ørkenvind fra Nordafrika.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	237	2	v18:237 (1869); v18:258 (1869)	medium	located	
Scutari	Scutari(s)	det nuværende Üsküdar, oldtidens Chrysopolis, bydel i Istanbul på den asiatiske side af Bosporus.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	medium	located+place-type	
Serra da Arrábida	St. Luis og Monte Arrabida	Serra da Arrábida, kæde af kalkstensbjerge langs kysten mellem Sesimbra og Setúbal.	1868	1868	15	Et Besøg i Portugal 1866	431	1	v15:431 (1868)	medium	located+place-type	
